SiteName,Latitude,Longitude,Elevation,Year,JulianDay,AphidCount,PrecipMM,Aphids_DD,Pea_DD,Vetch_DD
2020-Site-12,46.55877,-116.8223,864,2020,189,21,550.55,1229.9,1748.27,1527.35
2020-Site-11,46.54937,-116.94453,824,2020,154,0,420.88,648.26,1029.15,860.8
2020-Site-11,46.54937,-116.94453,824,2020,161,2,432.19,739.23,1151.62,970.67
2020-Site-11,46.54937,-116.94453,824,2020,168,0,455.61,843.29,1287.18,1093.63
2020-Site-11,46.54937,-116.94453,824,2020,175,3,458.26,996.83,1472.22,1266.07
2020-Site-11,46.54937,-116.94453,824,2020,182,1,485.72,1148.18,1655.07,1436.32
2020-Site-11,46.54937,-116.94453,824,2020,189,8,485.72,1284.64,1823.03,1591.68
2020-Site-10,47.27811,-117.32622,726,2020,128,0,207.77,236.81,472.7,364.51
2020-Site-10,47.27811,-117.32622,726,2020,135,0,234.24,323.82,591.21,470.42
2020-Site-10,47.27811,-117.32622,726,2020,142,0,286.49,401.29,700.18,566.79
2020-Site-10,47.27811,-117.32622,726,2020,149,0,286.49,490.08,820.47,674.48
2020-Site-10,47.27811,-117.32622,726,2020,154,0,309.75,583.79,936.68,781.69
2020-Site-10,47.27811,-117.32622,726,2020,161,0,317.35,668.77,1053.16,885.57
2020-Site-10,47.27811,-117.32622,726,2020,169,3,343.19,784.67,1205.06,1023.07
2020-Site-10,47.27811,-117.32622,726,2020,175,0,343.59,920.19,1367.58,1174.79
2020-Site-10,47.27811,-117.32622,726,2020,182,0,350.07,1076.86,1555.75,1350.36
2020-Site-10,47.27811,-117.32622,726,2020,189,0,354.82,1207.91,1718.3,1500.31
2020-Site-09,46.4998,-117.66552,659,2020,135,0,239.63,456.23,811.51,648.38
2020-Site-09,46.4998,-117.66552,659,2020,142,0,307.83,542.58,929.36,753.63
2020-Site-09,46.4998,-117.66552,659,2020,149,0,309.7,648.84,1067.12,878.79
2020-Site-09,46.4998,-117.66552,659,2020,154,0,323.51,757.81,1198.59,1001.26
2020-Site-09,46.4998,-117.66552,659,2020,161,0,333.76,859.08,1331.36,1121.43
2020-Site-09,46.4998,-117.66552,659,2020,175,0,354.02,1145.24,1680.52,1445.39
2020-Site-09,46.4998,-117.66552,659,2020,182,0,363.35,1315.4,1882.18,1634.45
2020-Site-09,46.4998,-117.66552,659,2020,189,0,366.84,1460.7,2058.98,1798.65
2020-Site-08,46.81936,-117.20483,726,2020,135,0,231.16,373.99,676.1,535.6
2020-Site-08,46.81936,-117.20483,726,2020,142,0,286.25,454.0,787.61,634.51
2020-Site-08,46.81936,-117.20483,726,2020,149,0,288.9,546.95,912.06,746.36
2020-Site-08,46.81936,-117.20483,726,2020,154,0,314.8,646.87,1034.48,859.78
2020-Site-08,46.81936,-117.20483,726,2020,161,0,327.17,736.85,1155.96,968.66
2020-Site-08,46.81936,-117.20483,726,2020,169,0,348.8,858.53,1313.64,1111.94
2020-Site-08,46.81936,-117.20483,726,2020,175,0,349.41,994.26,1476.37,1263.87
2020-Site-08,46.81936,-117.20483,726,2020,182,0,360.71,1150.45,1664.06,1438.96
2020-Site-08,46.81936,-117.20483,726,2020,189,1,364.43,1282.83,1827.94,1590.24
2020-Site-07,46.59968,-116.55548,807,2020,135,0,420.63,335.48,602.54,482.24
2020-Site-07,46.59968,-116.55548,807,2020,142,0,465.03,410.55,709.11,576.21
2020-Site-07,46.59968,-116.55548,807,2020,149,0,469.1,504.06,834.12,688.62
2020-Site-07,46.59968,-116.55548,807,2020,154,0,494.77,604.7,957.26,802.76
2020-Site-07,46.59968,-116.55548,807,2020,161,0,507.06,692.83,1076.89,909.79
2020-Site-07,46.59968,-116.55548,807,2020,169,0,536.61,807.28,1227.34,1045.84
2020-Site-07,46.59968,-116.55548,807,2020,175,2,539.9,941.44,1388.5,1196.2
2020-Site-07,46.59968,-116.55548,807,2020,182,0,570.91,1086.79,1565.35,1360.45
2020-Site-07,46.59968,-116.55548,807,2020,189,0,570.91,1221.76,1731.82,1514.32
2020-Site-06,46.52528,-116.80662,806,2020,135,0,374.37,370.26,662.26,529.83
2020-Site-06,46.52528,-116.80662,806,2020,142,0,418.28,447.48,770.98,625.95
2020-Site-06,46.52528,-116.80662,806,2020,149,0,421.77,544.04,899.04,741.41
2020-Site-06,46.52528,-116.80662,806,2020,154,0,455.87,647.76,1025.26,858.63
2020-Site-06,46.52528,-116.80662,806,2020,161,0,467.14,740.14,1149.14,969.91
2020-Site-06,46.52528,-116.80662,806,2020,169,1,491.63,860.17,1305.17,1111.54
2020-Site-06,46.52528,-116.80662,806,2020,175,0,494.62,998.35,1470.35,1265.92
2020-Site-06,46.52528,-116.80662,806,2020,182,0,523.71,1149.5,1653.0,1435.97
2020-Site-06,46.52528,-116.80662,806,2020,189,2,523.71,1287.51,1822.51,1592.88
2020-Site-05,46.36822,-116.86189,540,2020,135,0,231.71,553.4,960.41,772.15
2020-Site-05,46.36822,-116.86189,540,2020,142,0,271.54,653.38,1091.89,891.03
2020-Site-05,46.36822,-116.86189,540,2020,149,0,272.88,772.27,1242.28,1028.82
2020-Site-05,46.36822,-116.86189,540,2020,154,0,293.94,893.1,1385.61,1163.15
2020-Site-05,46.36822,-116.86189,540,2020,161,0,304.02,1012.99,1537.0,1301.94
2020-Site-05,46.36822,-116.86189,540,2020,169,0,323.82,1161.48,1721.49,1472.03
2020-Site-05,46.36822,-116.86189,540,2020,175,1,327.56,1320.17,1907.18,1646.92
2020-Site-05,46.36822,-116.86189,540,2020,182,2,355.08,1496.69,2115.2,1842.34
2020-Site-05,46.36822,-116.86189,540,2020,189,0,355.08,1658.01,2308.02,2022.56
2020-Site-04,45.72242,-118.6281,453,2020,135,0,212.78,658.92,1119.59,922.02
2020-Site-04,45.72242,-118.6281,453,2020,142,0,279.58,757.37,1249.54,1039.37
2020-Site-04,45.72242,-118.6281,453,2020,149,0,287.82,883.76,1407.43,1184.66
2020-Site-04,45.72242,-118.6281,453,2020,154,0,294.26,1003.03,1549.2,1317.43
2020-Site-04,45.72242,-118.6281,453,2020,161,0,297.05,1123.3,1700.97,1456.6
2020-Site-04,45.72242,-118.6281,453,2020,161,0,297.05,1123.3,1700.97,1456.6
2020-Site-04,45.72242,-118.6281,453,2020,169,0,323.13,1284.44,1898.11,1639.34
2020-Site-04,45.72242,-118.6281,453,2020,175,0,323.13,1450.51,2091.18,1821.61
2020-Site-04,45.72242,-118.6281,453,2020,182,0,327.19,1636.78,2308.95,2026.78
2020-Site-04,45.72242,-118.6281,453,2020,189,0,327.19,1799.01,2502.68,2207.91
2020-Site-03,46.04316,-118.22249,435,2020,135,0,287.64,683.51,1151.18,951.59
2020-Site-03,46.04316,-118.22249,435,2020,142,0,353.36,783.97,1283.14,1070.95
2020-Site-03,46.04316,-118.22249,435,2020,149,0,355.99,916.28,1446.95,1222.16
2020-Site-03,46.04316,-118.22249,435,2020,154,0,361.64,1040.06,1593.23,1359.44
2020-Site-03,46.04316,-118.22249,435,2020,161,0,374.33,1164.34,1749.01,1502.62
2020-Site-03,46.04316,-118.22249,435,2020,169,0,399.99,1329.56,1950.23,1689.44
2020-Site-03,46.04316,-118.22249,435,2020,175,0,401.08,1501.45,2149.12,1877.53
2020-Site-03,46.04316,-118.22249,435,2020,182,0,402.1,1692.48,2371.65,2087.46
2020-Site-03,46.04316,-118.22249,435,2020,189,0,402.1,1863.92,2574.59,2277.8
2020-Site-02,47.13353,-118.48203,556,2020,135,0,118.55,407.3,715.13,576.13
2020-Site-02,47.13353,-118.48203,556,2020,142,0,152.3,500.03,839.36,687.76
2020-Site-02,47.13353,-118.48203,556,2020,149,0,152.3,603.59,974.42,810.22
2020-Site-02,47.13353,-118.48203,556,2020,154,0,169.49,708.7,1102.03,928.83
2020-Site-02,47.13353,-118.48203,556,2020,161,0,174.51,806.89,1231.72,1045.92
2020-Site-02,47.13353,-118.48203,556,2020,169,0,193.1,944.15,1404.98,1204.78
2020-Site-02,47.13353,-118.48203,556,2020,175,0,193.1,1092.51,1580.34,1369.34
2020-Site-02,47.13353,-118.48203,556,2020,182,0,198.46,1272.64,1791.97,1568.37
2020-Site-02,47.13353,-118.48203,556,2020,189,0,198.46,1420.35,1971.18,1734.98
2020-Site-01,47.65058,-118.12819,744,2020,135,0,176.35,287.51,530.03,421.37
2020-Site-01,47.65058,-118.12819,744,2020,142,0,219.88,365.58,639.6,518.34
2020-Site-01,47.65058,-118.12819,744,2020,149,0,225.83,453.34,758.86,625.0
2020-Site-01,47.65058,-118.12819,744,2020,154,0,248.56,544.21,872.23,729.37
2020-Site-01,47.65058,-118.12819,744,2020,161,0,261.12,623.87,983.39,827.93
2020-Site-01,47.65058,-118.12819,744,2020,169,1,280.62,737.31,1132.83,962.97
2020-Site-01,47.65058,-118.12819,744,2020,175,1,281.54,873.55,1296.07,1115.41
2020-Site-01,47.65058,-118.12819,744,2020,182,0,286.68,1034.88,1488.9,1295.64
2020-Site-01,47.65058,-118.12819,744,2020,189,0,288.1,1166.09,1651.61,1445.75
2019-Site-16,46.35034,-117.0487,288,2019,174,1,237.71,1744.63,2259.99,2045.36
2019-Site-15,46.5588,-117.27041,366,2019,170,1,238.84,1481.99,1959.01,1760.26
2019-Site-14,46.7599,-117.19882,763,2019,171,1,316.03,1092.8,1535.35,1349.08
2019-Site-13,47.27322,-117.2742,750,2019,129,0,266.1,282.44,519.48,417.07
2019-Site-13,47.27322,-117.2742,750,2019,136,0,278.3,407.8,676.34,561.33
2019-Site-13,47.27322,-117.2742,750,2019,143,0,299.98,492.73,792.77,665.16
2019-Site-13,47.27322,-117.2742,750,2019,150,1,320.14,614.77,946.31,806.1
2019-Site-13,47.27322,-117.2742,750,2019,157,0,324.19,762.05,1125.09,972.28
2019-Site-13,47.27322,-117.2742,750,2019,164,0,328.59,894.17,1288.71,1123.3
2019-Site-13,47.27322,-117.2742,750,2019,171,0,331.41,1050.75,1476.79,1298.78
2019-Site-13,47.27322,-117.2742,750,2019,178,0,334.66,1163.84,1621.38,1430.77
2019-Site-12,46.64227,-117.185,793,2019,129,0,286.94,320.67,578.09,466.47
2019-Site-12,46.64227,-117.185,793,2019,136,0,295.34,448.57,737.49,613.27
2019-Site-12,46.64227,-117.185,793,2019,142,0,308.74,514.69,830.61,695.59
2019-Site-12,46.64227,-117.185,793,2019,150,0,323.19,651.56,1003.48,854.06
2019-Site-12,46.64227,-117.185,793,2019,157,0,338.24,802.13,1185.55,1023.53
2019-Site-12,46.64227,-117.185,793,2019,164,0,340.97,940.47,1355.39,1180.77
2019-Site-12,46.64227,-117.185,793,2019,171,0,344.08,1095.63,1542.05,1354.83
2019-Site-12,46.64227,-117.185,793,2019,178,0,349.83,1208.4,1686.32,1486.5
2019-Site-12,46.64227,-117.185,793,2019,185,0,349.83,1354.21,1863.63,1651.21
2019-Site-12,46.64227,-117.185,793,2019,192,2,351.64,1526.07,2066.99,1841.97
2019-Site-11,46.51313,-117.1284,863,2019,129,0,267.92,312.62,571.69,460.74
2019-Site-11,46.51313,-117.1284,863,2019,136,0,279.93,440.82,731.39,607.84
2019-Site-11,46.51313,-117.1284,863,2019,142,1,291.23,503.63,821.2,686.85
2019-Site-11,46.51313,-117.1284,863,2019,150,1,303.29,638.14,991.71,842.96
2019-Site-11,46.51313,-117.1284,863,2019,157,0,326.79,788.12,1173.19,1011.84
2019-Site-11,46.51313,-117.1284,863,2019,164,0,328.46,926.17,1342.74,1168.79
2019-Site-11,46.51313,-117.1284,863,2019,171,0,331.11,1079.65,1527.72,1341.17
2019-Site-11,46.51313,-117.1284,863,2019,178,0,335.39,1190.88,1670.45,1471.3
2019-Site-11,46.51313,-117.1284,863,2019,185,0,341.38,1337.0,1848.07,1636.32
2019-Site-11,46.51313,-117.1284,863,2019,192,0,344.32,1509.68,2052.25,1827.9
2019-Site-10,46.48417,-117.1176,890,2019,129,0,270.56,305.15,563.67,452.66
2019-Site-10,46.48417,-117.1176,890,2019,136,0,282.1,432.56,722.58,598.97
2019-Site-10,46.48417,-117.1176,890,2019,142,0,293.28,493.69,810.71,676.3
2019-Site-10,46.48417,-117.1176,890,2019,150,0,311.86,626.47,979.49,830.68
2019-Site-10,46.48417,-117.1176,890,2019,157,0,334.84,775.6,1160.12,998.71
2019-Site-10,46.48417,-117.1176,890,2019,164,0,337.88,912.65,1328.67,1154.66
2019-Site-10,46.48417,-117.1176,890,2019,171,0,341.72,1064.88,1512.4,1325.79
2019-Site-10,46.48417,-117.1176,890,2019,178,0,352.57,1174.89,1653.91,1454.7
2019-Site-10,46.48417,-117.1176,890,2019,185,0,359.48,1320.18,1830.7,1618.89
2019-Site-10,46.48417,-117.1176,890,2019,192,0,362.36,1492.05,2034.07,1809.66
2019-Site-09,46.61018,-116.9651,865,2019,129,0,332.69,294.33,545.32,438.44
2019-Site-09,46.61018,-116.9651,865,2019,136,0,349.76,420.99,703.48,584.0
2019-Site-09,46.61018,-116.9651,865,2019,142,0,369.75,482.65,792.14,661.86
2019-Site-09,46.61018,-116.9651,865,2019,150,0,397.55,615.78,961.27,816.59
2019-Site-09,46.61018,-116.9651,865,2019,157,0,415.77,763.29,1140.28,983.0
2019-Site-09,46.61018,-116.9651,865,2019,164,1,419.14,898.52,1307.01,1137.13
2019-Site-09,46.61018,-116.9651,865,2019,171,0,423.1,1049.59,1489.58,1307.1
2019-Site-09,46.61018,-116.9651,865,2019,178,0,428.54,1158.96,1630.45,1435.37
2019-Site-09,46.61018,-116.9651,865,2019,185,0,428.54,1303.85,1806.84,1599.16
2019-Site-09,46.61018,-116.9651,865,2019,192,0,431.75,1474.16,2008.65,1788.37
2019-Site-08,46.5344,-116.7896,801,2019,129,0,352.01,312.33,564.79,459.04
2019-Site-08,46.5344,-116.7896,801,2019,135,0,362.17,426.81,706.27,589.72
2019-Site-08,46.5344,-116.7896,801,2019,142,4,399.74,508.55,819.51,690.36
2019-Site-08,46.5344,-116.7896,801,2019,150,1,431.3,646.46,993.42,849.87
2019-Site-08,46.5344,-116.7896,801,2019,157,0,451.73,797.59,1176.05,1019.9
2019-Site-08,46.5344,-116.7896,801,2019,164,0,455.18,936.55,1346.51,1177.76
2019-Site-08,46.5344,-116.7896,801,2019,171,0,460.74,1091.45,1532.91,1351.56
2019-Site-08,46.5344,-116.7896,801,2019,178,0,469.13,1206.19,1679.15,1485.2
2019-Site-08,46.5344,-116.7896,801,2019,185,0,474.85,1357.24,1861.7,1655.15
2019-Site-08,46.5344,-116.7896,801,2019,192,0,478.68,1532.55,2068.51,1849.36
2019-Site-07,47.65092,-118.13131,744,2019,129,0,153.33,271.32,497.02,401.09
2019-Site-07,47.65092,-118.13131,744,2019,136,1,171.86,386.99,644.19,535.66
2019-Site-07,47.65092,-118.13131,744,2019,143,0,183.07,474.14,762.84,641.71
2019-Site-07,47.65092,-118.13131,744,2019,150,0,193.16,597.34,917.54,783.81
2019-Site-07,47.65092,-118.13131,744,2019,157,0,195.22,739.97,1091.67,945.34
2019-Site-07,47.65092,-118.13131,744,2019,164,0,198.28,870.81,1254.01,1095.08
2019-Site-07,47.65092,-118.13131,744,2019,171,0,198.28,1031.54,1446.24,1274.71
2019-Site-07,47.65092,-118.13131,744,2019,178,0,202.56,1145.23,1591.43,1407.3
2019-Site-06,47.28942,-118.04549,610,2019,129,0,141.09,345.3,586.5,486.71
2019-Site-06,47.28942,-118.04549,610,2019,136,3,151.48,471.05,743.75,631.36
2019-Site-06,47.28942,-118.04549,610,2019,143,0,156.78,567.66,871.86,746.87
2019-Site-06,47.28942,-118.04549,610,2019,150,1,169.26,699.98,1035.68,898.09
2019-Site-06,47.28942,-118.04549,610,2019,157,1,171.17,856.76,1223.96,1073.77
2019-Site-06,47.28942,-118.04549,610,2019,164,1,173.15,999.91,1398.61,1235.82
2019-Site-06,47.28942,-118.04549,610,2019,171,1,175.04,1168.82,1599.02,1423.63
2019-Site-06,47.28942,-118.04549,610,2019,178,0,181.09,1291.51,1753.21,1565.22
2019-Site-05,46.97154,-118.47424,493,2019,129,0,116.61,472.38,725.02,618.01
2019-Site-05,46.97154,-118.47424,493,2019,136,0,123.14,606.85,890.99,771.38
2019-Site-05,46.97154,-118.47424,493,2019,143,0,123.14,717.56,1033.2,900.99
2019-Site-05,46.97154,-118.47424,493,2019,150,0,131.74,865.37,1212.51,1067.7
2019-Site-05,46.97154,-118.47424,493,2019,157,1,132.27,1039.96,1418.6,1261.19
2019-Site-05,46.97154,-118.47424,493,2019,164,1,134.05,1196.8,1606.94,1436.93
2019-Site-05,46.97154,-118.47424,493,2019,171,0,135.46,1378.03,1819.67,1637.06
2019-Site-05,46.97154,-118.47424,493,2019,178,0,141.97,1511.74,1984.88,1789.67
2019-Site-04,47.08359,-118.51488,558,2019,129,0,122.93,431.41,678.31,576.01
2019-Site-04,47.08359,-118.51488,558,2019,136,1,130.3,560.68,839.08,724.18
2019-Site-04,47.08359,-118.51488,558,2019,143,3,130.3,665.37,975.27,847.77
2019-Site-04,47.08359,-118.51488,558,2019,150,4,139.1,808.21,1149.61,1009.51
2019-Site-04,47.08359,-118.51488,558,2019,157,6,139.67,976.8,1349.7,1197.0
2019-Site-04,47.08359,-118.51488,558,2019,164,1,141.51,1127.54,1531.94,1366.64
2019-Site-04,47.08359,-118.51488,558,2019,171,2,143.67,1304.45,1740.35,1562.45
2019-Site-04,47.08359,-118.51488,558,2019,178,0,149.81,1431.72,1899.12,1708.62
2019-Site-03,47.00155,-118.55771,504,2019,129,0,113.76,471.14,721.25,616.55
2019-Site-03,47.00155,-118.55771,504,2019,136,2,120.42,604.71,886.32,769.02
2019-Site-03,47.00155,-118.55771,504,2019,143,0,120.42,715.13,1028.24,898.34
2019-Site-03,47.00155,-118.55771,504,2019,150,2,128.67,863.27,1207.88,1065.38
2019-Site-03,47.00155,-118.55771,504,2019,157,0,128.94,1037.43,1413.54,1258.44
2019-Site-03,47.00155,-118.55771,504,2019,164,0,130.45,1193.48,1601.09,1433.39
2019-Site-03,47.00155,-118.55771,504,2019,171,0,131.58,1375.02,1814.13,1633.83
2019-Site-03,47.00155,-118.55771,504,2019,178,0,137.99,1507.88,1978.49,1785.59
2019-Site-02,47.27489,-117.27478,750,2019,129,0,266.1,282.44,519.48,417.07
2019-Site-02,47.27489,-117.27478,750,2019,136,0,278.3,407.8,676.34,561.33
2019-Site-02,47.27489,-117.27478,750,2019,143,0,299.98,492.73,792.77,665.16
2019-Site-02,47.27489,-117.27478,750,2019,150,0,320.14,614.77,946.31,806.1
2019-Site-02,47.27489,-117.27478,750,2019,157,0,324.19,762.05,1125.09,972.28
2019-Site-02,47.27489,-117.27478,750,2019,164,0,328.59,894.17,1288.71,1123.3
2019-Site-02,47.27489,-117.27478,750,2019,171,0,331.41,1050.75,1476.79,1298.78
2019-Site-02,47.27489,-117.27478,750,2019,178,0,334.66,1163.84,1621.38,1430.77
2019-Site-01,47.03181,-117.02192,838,2019,129,0,332.78,258.34,493.61,390.24
2019-Site-01,47.03181,-117.02192,838,2019,136,0,345.79,381.18,647.95,531.98
2019-Site-01,47.03181,-117.02192,838,2019,143,0,365.02,459.1,757.37,628.8
2019-Site-01,47.03181,-117.02192,838,2019,150,0,391.59,573.14,902.91,761.74
2019-Site-01,47.03181,-117.02192,838,2019,157,0,403.7,716.86,1078.13,924.36
2019-Site-01,47.03181,-117.02192,838,2019,164,0,407.42,843.1,1235.87,1069.5
2019-Site-01,47.03181,-117.02192,838,2019,171,0,410.24,992.3,1416.57,1237.6
2019-Site-01,47.03181,-117.02192,838,2019,178,0,416.44,1097.89,1553.66,1362.09
2018-Site-09,46.54185,-117.1918,855,2017,285,0,486.13,3681.2,4675.21,4264.04
2018-Site-09,46.54185,-117.1918,855,2017,292,0,501.78,3725.9,4749.15,4325.38
2018-Site-09,46.54185,-117.1918,855,2017,299,0,530.55,3766.53,4821.28,4384.91
2018-Site-09,46.54185,-117.1918,855,2017,306,0,540.67,3784.67,4867.29,4418.32
2018-Site-09,46.54185,-117.1918,855,2017,313,0,558.98,3784.67,4870.63,4419.86
2018-Site-09,46.54185,-117.1918,855,2017,320,0,577.96,3786.16,4894.34,4431.64
2018-Site-09,46.54185,-117.1918,855,2017,327,0,625.7,3804.78,4932.91,4460.44
2018-Site-09,46.54185,-117.1918,855,2017,334,0,632.79,3809.3,4949.43,4470.52
2018-Site-09,46.54185,-117.1918,855,2018,107,0,246.36,107.04,312.62,210.16
2018-Site-09,46.54185,-117.1918,855,2018,114,0,246.36,142.17,379.25,264.19
2018-Site-09,46.54185,-117.1918,855,2018,121,0,254.04,226.03,494.61,366.95
2018-Site-09,46.54185,-117.1918,855,2018,128,0,272.6,348.26,648.34,508.08
2018-Site-09,46.54185,-117.1918,855,2018,135,0,285.19,457.48,789.06,636.2
2018-Site-09,46.54185,-117.1918,855,2018,142,0,320.14,586.8,949.88,784.42
2018-Site-09,46.54185,-117.1918,855,2018,149,22,334.33,725.87,1120.45,942.39
2018-Site-09,46.54185,-117.1918,855,2018,156,25,336.62,832.97,1259.05,1068.39
2018-Site-09,46.54185,-117.1918,855,2018,163,2,360.83,937.07,1394.65,1191.39
2018-Site-09,46.54185,-117.1918,855,2018,170,13,370.75,1050.54,1539.62,1323.76
2018-Site-09,46.54185,-117.1918,855,2018,177,15,379.24,1206.04,1726.62,1498.16
2018-Site-09,46.54185,-117.1918,855,2018,184,4,381.7,1333.15,1885.23,1644.17
2018-Site-09,46.54185,-117.1918,855,2018,191,0,381.7,1512.96,2096.54,1842.88
2018-Site-09,46.54185,-117.1918,855,2018,198,0,381.7,1726.92,2342.0,2075.74
2018-Site-09,46.54185,-117.1918,855,2018,205,0,381.7,1919.27,2565.85,2286.99
2018-Site-09,46.54185,-117.1918,855,2018,212,0,381.7,2160.2,2838.28,2546.82
2018-Site-08,46.58903,-117.21612,834,2017,285,0,507.74,3662.04,4654.41,4243.95
2018-Site-08,46.58903,-117.21612,834,2017,292,0,526.59,3705.85,4727.33,4304.27
2018-Site-08,46.58903,-117.21612,834,2017,299,0,563.65,3745.49,4798.47,4362.81
2018-Site-08,46.58903,-117.21612,834,2017,306,0,572.47,3762.69,4843.25,4394.99
2018-Site-08,46.58903,-117.21612,834,2017,313,0,593.41,3762.69,4846.56,4396.5
2018-Site-08,46.58903,-117.21612,834,2017,320,0,609.98,3764.33,4870.27,4408.42
2018-Site-08,46.58903,-117.21612,834,2017,327,0,658.88,3782.99,4908.75,4437.06
2018-Site-08,46.58903,-117.21612,834,2017,334,0,669.11,3787.43,4925.16,4447.03
2018-Site-08,46.58903,-117.21612,834,2018,107,0,282.23,105.03,308.55,206.73
2018-Site-08,46.58903,-117.21612,834,2018,114,0,282.23,139.1,374.12,259.7
2018-Site-08,46.58903,-117.21612,834,2018,121,0,287.38,222.53,489.05,362.03
2018-Site-08,46.58903,-117.21612,834,2018,128,0,305.49,344.58,642.6,502.98
2018-Site-08,46.58903,-117.21612,834,2018,135,0,317.06,453.97,783.49,631.27
2018-Site-08,46.58903,-117.21612,834,2018,142,0,346.04,583.63,944.65,779.83
2018-Site-08,46.58903,-117.21612,834,2018,149,6,356.59,722.55,1115.07,937.65
2018-Site-08,46.58903,-117.21612,834,2018,156,23,359.2,828.72,1252.74,1062.72
2018-Site-08,46.58903,-117.21612,834,2018,163,8,380.77,932.09,1387.61,1184.99
2018-Site-08,46.58903,-117.21612,834,2018,170,24,391.03,1045.21,1532.23,1317.01
2018-Site-08,46.58903,-117.21612,834,2018,177,53,399.5,1200.14,1718.66,1490.84
2018-Site-08,46.58903,-117.21612,834,2018,184,34,401.43,1326.28,1876.3,1635.88
2018-Site-08,46.58903,-117.21612,834,2018,191,10,401.43,1504.44,2085.96,1832.94
2018-Site-08,46.58903,-117.21612,834,2018,198,16,401.43,1716.66,2329.68,2064.06
2018-Site-08,46.58903,-117.21612,834,2018,205,2,401.43,1907.31,2551.83,2273.61
2018-Site-08,46.58903,-117.21612,834,2018,212,0,401.43,2146.76,2822.78,2531.96
2018-Site-07,46.61277,-117.24152,806,2017,285,0,498.67,3677.84,4671.8,4261.39
2018-Site-07,46.61277,-117.24152,806,2017,292,0,517.55,3721.52,4744.79,4321.78
2018-Site-07,46.61277,-117.24152,806,2017,299,0,553.84,3761.28,4816.05,4380.44
2018-Site-07,46.61277,-117.24152,806,2017,306,0,558.83,3777.96,4860.39,4412.18
2018-Site-07,46.61277,-117.24152,806,2017,313,0,578.7,3777.96,4863.91,4413.78
