veg.date,Year,Julian_Day,SiteID,Latitude,Longitude,Elevation,PrecipMM,aphid.presence,hemiptera.aphididae,white.clover,black.medick,yellow.sweet.clover,hairy.vetch,silky.lupine,milkvetch.1,peavine,crimson.clover,common.vetch,large.cow.pea,pink.cow.pea,white.cow.pea,alfalfa,red.clover,subterranian.clover,wooly.pod.milkvetch,white.locoweed,lentil.vetch,clover.1,american.vetch,everlasting.vetchling,spurred.lupine,low.hop.clover
7/13/2018,2018,194,Rose Creek 3,46.82535,-117.20811,726,319.14,Yes,2,0,0,0,301,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/5/2018,2018,186,Ryan Road 1,46.65705,-117.31454,776,353.28,Yes,1957,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/16/2018,2018,197,Ryan Road 2,46.65681,-117.31477,776,353.28,Yes,525,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/11/2018,2018,162,Skinner 1,46.66249,-116.99141,941,450.84,Yes,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1875,0,0,0,0,0
6/11/2018,2018,162,Skinner 2,46.66363,-116.98729,941,450.84,Yes,14,0,0,0,0,576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/11/2018,2018,162,Skinner 3,46.66363,-116.98729,941,450.84,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1261,4,0,0,0,0
6/22/2018,2018,173,Skinner 4,46.66197,-116.98659,941,466.04,Yes,108,0,0,0,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/22/2018,2018,173,Skinner 5,46.66197,-116.98659,941,466.04,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1187
6/4/2018,2018,155,Smoot Hill 1,46.82619,-117.23591,761,303.2,No,0,0,1636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/4/2018,2018,155,Smoot Hill 2,46.82929,-117.24192,761,303.2,No,39,0,0,0,0,485,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0
7/13/2018,2018,194,Smoot Hill 3,46.82619,-117.23591,761,336.32,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/29/2018,2018,149,Snake River 2,46.44806,-117.20448,269,210.49,Yes,84,0,0,0,1902,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0
5/29/2018,2018,149,Snake River 3,46.42363,-117.20120,413,221.48,No,0,0,0,809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/21/2018,2018,141,St. John 1,47.11883,-117.54199,643,205.9,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/21/2018,2018,141,St. John 2,47.11827,-117.54134,643,205.9,Yes,1,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/11/2018,2018,192,Union Flat Road,46.62640,-117.23734,784,375.18,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/7/2018,2018,127,Wawawai 1,46.63691,-117.37759,308,196.09,No,0,734,151,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/7/2018,2018,127,Wawawai 2,46.63818,-117.37756,280,178.48,Yes,1,0,0,0,18,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/7/2018,2018,127,Wawawai 3,46.63885,-117.37580,280,178.48,Yes,2,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/2/2018,2018,183,Wawawai 4,46.63885,-117.37580,280,246.77,Yes,0,0,0,0,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
